Individual,Run,Variant,Input,Feasibility
0,0,1,1,Infeasible
1,0,1,1,Infeasible
2,0,1,1,Infeasible
3,0,1,1,Infeasible
4,0,1,1,Infeasible
5,0,1,1,Infeasible
6,0,1,1,Infeasible
7,0,1,1,Infeasible
8,0,1,1,Infeasible
9,0,1,1,Infeasible
10,0,1,1,Infeasible
11,0,1,1,Infeasible
12,0,1,1,Infeasible
13,0,1,1,Infeasible
14,0,1,1,Infeasible
15,0,1,1,Infeasible
16,0,1,1,Infeasible
17,0,1,1,Infeasible
18,0,1,1,Infeasible
19,0,1,1,Infeasible
20,0,1,1,Infeasible
21,0,1,1,Infeasible
22,0,1,1,Infeasible
23,0,1,1,Infeasible
24,0,1,1,Infeasible
25,0,1,1,Infeasible
26,0,1,1,Infeasible
27,0,1,1,Infeasible
28,0,1,1,Infeasible
29,0,1,1,Infeasible
30,0,1,1,Infeasible
31,0,1,1,Infeasible
32,0,1,1,Infeasible
33,0,1,1,Infeasible
34,0,1,1,Infeasible
35,0,1,1,Infeasible
36,0,1,1,Infeasible
37,0,1,1,Infeasible
38,0,1,1,Infeasible
39,0,1,1,Infeasible
40,0,1,1,Infeasible
41,0,1,1,Infeasible
42,0,1,1,Infeasible
43,0,1,1,Infeasible
44,0,1,1,Infeasible
45,0,1,1,Infeasible
46,0,1,1,Infeasible
47,0,1,1,Infeasible
48,0,1,1,Infeasible
49,0,1,1,Infeasible
50,0,1,1,Infeasible
51,0,1,1,Infeasible
52,0,1,1,Infeasible
53,0,1,1,Infeasible
54,0,1,1,Infeasible
55,0,1,1,Infeasible
56,0,1,1,Infeasible
57,0,1,1,Infeasible
58,0,1,1,Infeasible
59,0,1,1,Infeasible
60,0,1,1,Infeasible
61,0,1,1,Infeasible
62,0,1,1,Infeasible
63,0,1,1,Infeasible
64,0,1,1,Infeasible
65,0,1,1,Infeasible
66,0,1,1,Infeasible
67,0,1,1,Infeasible
68,0,1,1,Infeasible
69,0,1,1,Infeasible
70,0,1,1,Infeasible
71,0,1,1,Infeasible
72,0,1,1,Infeasible
73,0,1,1,Infeasible
74,0,1,1,Infeasible
75,0,1,1,Infeasible
76,0,1,1,Infeasible
77,0,1,1,Infeasible
78,0,1,1,Infeasible
79,0,1,1,Infeasible
80,0,1,1,Infeasible
81,0,1,1,Infeasible
82,0,1,1,Infeasible
83,0,1,1,Infeasible
84,0,1,1,Infeasible
85,0,1,1,Infeasible
86,0,1,1,Infeasible
87,0,1,1,Infeasible
88,0,1,1,Infeasible
89,0,1,1,Infeasible
90,0,1,1,Infeasible
91,0,1,1,Infeasible
0,0,1,2,Infeasible
1,0,1,2,Infeasible
2,0,1,2,Infeasible
3,0,1,2,Infeasible
4,0,1,2,Infeasible
5,0,1,2,Infeasible
6,0,1,2,Infeasible
7,0,1,2,Infeasible
8,0,1,2,Infeasible
9,0,1,2,Infeasible
10,0,1,2,Infeasible
11,0,1,2,Infeasible
12,0,1,2,Infeasible
13,0,1,2,Infeasible
14,0,1,2,Infeasible
15,0,1,2,Infeasible
16,0,1,2,Infeasible
17,0,1,2,Infeasible
18,0,1,2,Infeasible
19,0,1,2,Infeasible
20,0,1,2,Infeasible
21,0,1,2,Infeasible
22,0,1,2,Infeasible
23,0,1,2,Infeasible
24,0,1,2,Infeasible
25,0,1,2,Infeasible
26,0,1,2,Infeasible
27,0,1,2,Feasible
28,0,1,2,Infeasible
29,0,1,2,Infeasible
30,0,1,2,Infeasible
31,0,1,2,Infeasible
32,0,1,2,Infeasible
33,0,1,2,Infeasible
34,0,1,2,Infeasible
35,0,1,2,Infeasible
36,0,1,2,Infeasible
37,0,1,2,Infeasible
38,0,1,2,Infeasible
39,0,1,2,Infeasible
40,0,1,2,Infeasible
41,0,1,2,Infeasible
42,0,1,2,Infeasible
43,0,1,2,Infeasible
44,0,1,2,Infeasible
45,0,1,2,Infeasible
46,0,1,2,Infeasible
47,0,1,2,Infeasible
48,0,1,2,Infeasible
49,0,1,2,Infeasible
50,0,1,2,Infeasible
51,0,1,2,Infeasible
52,0,1,2,Infeasible
53,0,1,2,Infeasible
54,0,1,2,Infeasible
55,0,1,2,Infeasible
56,0,1,2,Infeasible
57,0,1,2,Infeasible
58,0,1,2,Infeasible
59,0,1,2,Infeasible
60,0,1,2,Infeasible
61,0,1,2,Infeasible
62,0,1,2,Infeasible
63,0,1,2,Infeasible
64,0,1,2,Infeasible
65,0,1,2,Infeasible
66,0,1,2,Infeasible
67,0,1,2,Infeasible
68,0,1,2,Infeasible
69,0,1,2,Infeasible
70,0,1,2,Infeasible
71,0,1,2,Infeasible
72,0,1,2,Infeasible
73,0,1,2,Infeasible
74,0,1,2,Infeasible
75,0,1,2,Infeasible
76,0,1,2,Infeasible
77,0,1,2,Infeasible
78,0,1,2,Infeasible
79,0,1,2,Infeasible
80,0,1,2,Infeasible
81,0,1,2,Infeasible
82,0,1,2,Infeasible
83,0,1,2,Infeasible
84,0,1,2,Infeasible
85,0,1,2,Infeasible
86,0,1,2,Infeasible
87,0,1,2,Infeasible
88,0,1,2,Infeasible
89,0,1,2,Infeasible
90,0,1,2,Infeasible
91,0,1,2,Infeasible
0,0,1,3,Infeasible
1,0,1,3,Infeasible
2,0,1,3,Infeasible
3,0,1,3,Infeasible
4,0,1,3,Infeasible
5,0,1,3,Infeasible
6,0,1,3,Infeasible
7,0,1,3,Infeasible
8,0,1,3,Infeasible
9,0,1,3,Infeasible
10,0,1,3,Infeasible
11,0,1,3,Infeasible
12,0,1,3,Infeasible
13,0,1,3,Infeasible
14,0,1,3,Infeasible
15,0,1,3,Infeasible
16,0,1,3,Infeasible
17,0,1,3,Infeasible
18,0,1,3,Infeasible
19,0,1,3,Infeasible
20,0,1,3,Infeasible
21,0,1,3,Infeasible
22,0,1,3,Infeasible
23,0,1,3,Infeasible
24,0,1,3,Infeasible
25,0,1,3,Infeasible
26,0,1,3,Infeasible
27,0,1,3,Infeasible
28,0,1,3,Infeasible
29,0,1,3,Infeasible
30,0,1,3,Infeasible
31,0,1,3,Infeasible
32,0,1,3,Infeasible
33,0,1,3,Infeasible
34,0,1,3,Infeasible
35,0,1,3,Infeasible
36,0,1,3,Infeasible
37,0,1,3,Infeasible
38,0,1,3,Infeasible
39,0,1,3,Infeasible
40,0,1,3,Infeasible
41,0,1,3,Infeasible
42,0,1,3,Infeasible
43,0,1,3,Infeasible
44,0,1,3,Infeasible
45,0,1,3,Infeasible
46,0,1,3,Infeasible
47,0,1,3,Infeasible
48,0,1,3,Infeasible
49,0,1,3,Infeasible
50,0,1,3,Infeasible
51,0,1,3,Infeasible
52,0,1,3,Infeasible
53,0,1,3,Infeasible
54,0,1,3,Infeasible
55,0,1,3,Feasible
56,0,1,3,Infeasible
57,0,1,3,Infeasible
58,0,1,3,Infeasible
59,0,1,3,Infeasible
60,0,1,3,Infeasible
61,0,1,3,Infeasible
62,0,1,3,Infeasible
63,0,1,3,Infeasible
64,0,1,3,Infeasible
65,0,1,3,Infeasible
66,0,1,3,Infeasible
67,0,1,3,Infeasible
68,0,1,3,Infeasible
69,0,1,3,Infeasible
70,0,1,3,Infeasible
71,0,1,3,Infeasible
72,0,1,3,Infeasible
73,0,1,3,Infeasible
74,0,1,3,Infeasible
75,0,1,3,Infeasible
76,0,1,3,Infeasible
77,0,1,3,Infeasible
78,0,1,3,Infeasible
79,0,1,3,Infeasible
80,0,1,3,Infeasible
81,0,1,3,Infeasible
82,0,1,3,Infeasible
83,0,1,3,Infeasible
84,0,1,3,Infeasible
85,0,1,3,Infeasible
86,0,1,3,Infeasible
87,0,1,3,Infeasible
88,0,1,3,Infeasible
89,0,1,3,Infeasible
90,0,1,3,Infeasible
91,0,1,3,Infeasible
0,1,1,1,Infeasible
1,1,1,1,Infeasible
2,1,1,1,Infeasible
3,1,1,1,Infeasible
4,1,1,1,Infeasible
5,1,1,1,Infeasible
6,1,1,1,Infeasible
7,1,1,1,Infeasible
8,1,1,1,Infeasible
9,1,1,1,Infeasible
10,1,1,1,Infeasible
11,1,1,1,Infeasible
12,1,1,1,Infeasible
13,1,1,1,Infeasible
14,1,1,1,Infeasible
15,1,1,1,Infeasible
16,1,1,1,Infeasible
17,1,1,1,Infeasible
18,1,1,1,Infeasible
19,1,1,1,Infeasible
20,1,1,1,Infeasible
21,1,1,1,Infeasible
22,1,1,1,Infeasible
23,1,1,1,Infeasible
24,1,1,1,Infeasible
25,1,1,1,Infeasible
26,1,1,1,Infeasible
27,1,1,1,Infeasible
28,1,1,1,Infeasible
29,1,1,1,Infeasible
30,1,1,1,Infeasible
31,1,1,1,Infeasible
32,1,1,1,Infeasible
33,1,1,1,Infeasible
34,1,1,1,Infeasible
35,1,1,1,Infeasible
36,1,1,1,Infeasible
37,1,1,1,Infeasible
38,1,1,1,Infeasible
39,1,1,1,Infeasible
40,1,1,1,Infeasible
41,1,1,1,Infeasible
42,1,1,1,Infeasible
43,1,1,1,Infeasible
44,1,1,1,Infeasible
45,1,1,1,Infeasible
46,1,1,1,Infeasible
47,1,1,1,Infeasible
48,1,1,1,Infeasible
49,1,1,1,Infeasible
50,1,1,1,Infeasible
51,1,1,1,Infeasible
52,1,1,1,Infeasible
53,1,1,1,Infeasible
54,1,1,1,Infeasible
55,1,1,1,Infeasible
56,1,1,1,Infeasible
57,1,1,1,Infeasible
58,1,1,1,Infeasible
59,1,1,1,Infeasible
60,1,1,1,Infeasible
61,1,1,1,Infeasible
62,1,1,1,Infeasible
63,1,1,1,Infeasible
64,1,1,1,Infeasible
65,1,1,1,Infeasible
66,1,1,1,Infeasible
67,1,1,1,Infeasible
68,1,1,1,Infeasible
69,1,1,1,Infeasible
70,1,1,1,Infeasible
71,1,1,1,Infeasible
72,1,1,1,Infeasible
73,1,1,1,Infeasible
74,1,1,1,Infeasible
75,1,1,1,Infeasible
76,1,1,1,Infeasible
77,1,1,1,Infeasible
78,1,1,1,Infeasible
79,1,1,1,Infeasible
80,1,1,1,Infeasible
81,1,1,1,Infeasible
82,1,1,1,Infeasible
83,1,1,1,Infeasible
84,1,1,1,Infeasible
85,1,1,1,Infeasible
86,1,1,1,Infeasible
87,1,1,1,Infeasible
88,1,1,1,Infeasible
89,1,1,1,Infeasible
90,1,1,1,Infeasible
91,1,1,1,Infeasible
0,1,1,2,Infeasible
1,1,1,2,Infeasible
2,1,1,2,Infeasible
3,1,1,2,Infeasible
4,1,1,2,Infeasible
5,1,1,2,Infeasible
6,1,1,2,Infeasible
7,1,1,2,Infeasible
8,1,1,2,Infeasible
9,1,1,2,Infeasible
10,1,1,2,Infeasible
11,1,1,2,Infeasible
12,1,1,2,Infeasible
13,1,1,2,Infeasible
14,1,1,2,Infeasible
15,1,1,2,Infeasible
16,1,1,2,Infeasible
17,1,1,2,Infeasible
18,1,1,2,Infeasible
19,1,1,2,Infeasible
20,1,1,2,Infeasible
21,1,1,2,Infeasible
22,1,1,2,Infeasible
23,1,1,2,Infeasible
24,1,1,2,Infeasible
25,1,1,2,Infeasible
26,1,1,2,Infeasible
27,1,1,2,Infeasible
28,1,1,2,Infeasible
29,1,1,2,Infeasible
30,1,1,2,Infeasible
31,1,1,2,Infeasible
32,1,1,2,Infeasible
33,1,1,2,Infeasible
34,1,1,2,Infeasible
35,1,1,2,Infeasible
36,1,1,2,Infeasible
37,1,1,2,Infeasible
38,1,1,2,Infeasible
39,1,1,2,Infeasible
40,1,1,2,Infeasible
41,1,1,2,Infeasible
42,1,1,2,Infeasible
43,1,1,2,Infeasible
44,1,1,2,Infeasible
45,1,1,2,Infeasible
46,1,1,2,Infeasible
47,1,1,2,Infeasible
48,1,1,2,Infeasible
49,1,1,2,Infeasible
50,1,1,2,Infeasible
51,1,1,2,Infeasible
52,1,1,2,Infeasible
53,1,1,2,Infeasible
54,1,1,2,Infeasible
55,1,1,2,Infeasible
56,1,1,2,Infeasible
57,1,1,2,Infeasible
58,1,1,2,Infeasible
59,1,1,2,Infeasible
60,1,1,2,Infeasible
61,1,1,2,Infeasible
62,1,1,2,Infeasible
63,1,1,2,Infeasible
64,1,1,2,Infeasible
65,1,1,2,Infeasible
66,1,1,2,Infeasible
67,1,1,2,Infeasible
68,1,1,2,Infeasible
69,1,1,2,Infeasible
70,1,1,2,Infeasible
71,1,1,2,Infeasible
72,1,1,2,Infeasible
73,1,1,2,Infeasible
74,1,1,2,Infeasible
75,1,1,2,Infeasible
76,1,1,2,Infeasible
77,1,1,2,Infeasible
78,1,1,2,Infeasible
79,1,1,2,Infeasible
80,1,1,2,Infeasible
81,1,1,2,Infeasible
82,1,1,2,Infeasible
83,1,1,2,Infeasible
84,1,1,2,Infeasible
85,1,1,2,Infeasible
86,1,1,2,Infeasible
87,1,1,2,Infeasible
88,1,1,2,Infeasible
89,1,1,2,Infeasible
90,1,1,2,Infeasible
91,1,1,2,Infeasible
0,1,1,3,Infeasible
1,1,1,3,Infeasible
2,1,1,3,Infeasible
3,1,1,3,Infeasible
4,1,1,3,Infeasible
5,1,1,3,Infeasible
6,1,1,3,Infeasible
7,1,1,3,Infeasible
8,1,1,3,Infeasible
9,1,1,3,Infeasible
10,1,1,3,Infeasible
11,1,1,3,Infeasible
12,1,1,3,Infeasible
13,1,1,3,Infeasible
14,1,1,3,Infeasible
15,1,1,3,Infeasible
16,1,1,3,Infeasible
17,1,1,3,Infeasible
18,1,1,3,Infeasible
19,1,1,3,Infeasible
20,1,1,3,Infeasible
21,1,1,3,Infeasible
22,1,1,3,Infeasible
23,1,1,3,Infeasible
24,1,1,3,Infeasible
25,1,1,3,Infeasible
26,1,1,3,Infeasible
27,1,1,3,Infeasible
28,1,1,3,Infeasible
29,1,1,3,Infeasible
30,1,1,3,Infeasible
31,1,1,3,Infeasible
32,1,1,3,Infeasible
33,1,1,3,Infeasible
34,1,1,3,Infeasible
35,1,1,3,Infeasible
36,1,1,3,Infeasible
37,1,1,3,Infeasible
38,1,1,3,Infeasible
39,1,1,3,Infeasible
40,1,1,3,Infeasible
41,1,1,3,Infeasible
42,1,1,3,Infeasible
43,1,1,3,Infeasible
44,1,1,3,Infeasible
45,1,1,3,Infeasible
46,1,1,3,Infeasible
47,1,1,3,Infeasible
48,1,1,3,Infeasible
49,1,1,3,Infeasible
50,1,1,3,Infeasible
51,1,1,3,Infeasible
52,1,1,3,Infeasible
53,1,1,3,Infeasible
54,1,1,3,Infeasible
55,1,1,3,Infeasible
56,1,1,3,Infeasible
57,1,1,3,Infeasible
58,1,1,3,Infeasible
59,1,1,3,Infeasible
60,1,1,3,Infeasible
61,1,1,3,Infeasible
62,1,1,3,Infeasible
63,1,1,3,Infeasible
64,1,1,3,Infeasible
65,1,1,3,Infeasible
66,1,1,3,Infeasible
67,1,1,3,Infeasible
68,1,1,3,Infeasible
69,1,1,3,Infeasible
70,1,1,3,Infeasible
71,1,1,3,Infeasible
72,1,1,3,Infeasible
73,1,1,3,Infeasible
74,1,1,3,Infeasible
75,1,1,3,Infeasible
76,1,1,3,Infeasible
77,1,1,3,Infeasible
78,1,1,3,Infeasible
79,1,1,3,Infeasible
80,1,1,3,Infeasible
81,1,1,3,Infeasible
82,1,1,3,Infeasible
83,1,1,3,Infeasible
84,1,1,3,Infeasible
85,1,1,3,Infeasible
86,1,1,3,Infeasible
87,1,1,3,Infeasible
88,1,1,3,Infeasible
89,1,1,3,Infeasible
90,1,1,3,Infeasible
91,1,1,3,Infeasible
0,2,1,1,Infeasible
1,2,1,1,Infeasible
2,2,1,1,Infeasible
3,2,1,1,Infeasible
4,2,1,1,Infeasible
5,2,1,1,Infeasible
6,2,1,1,Infeasible
7,2,1,1,Infeasible
8,2,1,1,Infeasible
9,2,1,1,Infeasible
10,2,1,1,Infeasible
11,2,1,1,Infeasible
12,2,1,1,Infeasible
13,2,1,1,Infeasible
14,2,1,1,Infeasible
15,2,1,1,Infeasible
16,2,1,1,Infeasible
17,2,1,1,Infeasible
18,2,1,1,Infeasible
19,2,1,1,Infeasible
20,2,1,1,Infeasible
21,2,1,1,Infeasible
22,2,1,1,Infeasible
23,2,1,1,Infeasible
24,2,1,1,Infeasible
25,2,1,1,Infeasible
26,2,1,1,Infeasible
27,2,1,1,Infeasible
28,2,1,1,Infeasible
29,2,1,1,Infeasible
30,2,1,1,Infeasible
31,2,1,1,Infeasible
32,2,1,1,Infeasible
33,2,1,1,Infeasible
34,2,1,1,Infeasible
35,2,1,1,Infeasible
36,2,1,1,Infeasible
37,2,1,1,Infeasible
38,2,1,1,Infeasible
39,2,1,1,Infeasible
40,2,1,1,Infeasible
41,2,1,1,Infeasible
42,2,1,1,Infeasible
43,2,1,1,Infeasible
44,2,1,1,Infeasible
45,2,1,1,Infeasible
46,2,1,1,Infeasible
47,2,1,1,Infeasible
48,2,1,1,Infeasible
49,2,1,1,Infeasible
50,2,1,1,Infeasible
51,2,1,1,Infeasible
52,2,1,1,Infeasible
53,2,1,1,Infeasible
54,2,1,1,Infeasible
55,2,1,1,Feasible
56,2,1,1,Infeasible
57,2,1,1,Infeasible
58,2,1,1,Infeasible
59,2,1,1,Infeasible
60,2,1,1,Infeasible
61,2,1,1,Infeasible
62,2,1,1,Infeasible
63,2,1,1,Infeasible
64,2,1,1,Infeasible
65,2,1,1,Infeasible
66,2,1,1,Infeasible
67,2,1,1,Infeasible
68,2,1,1,Infeasible
69,2,1,1,Infeasible
70,2,1,1,Infeasible
71,2,1,1,Infeasible
72,2,1,1,Infeasible
73,2,1,1,Infeasible
74,2,1,1,Infeasible
75,2,1,1,Infeasible
76,2,1,1,Infeasible
77,2,1,1,Infeasible
78,2,1,1,Infeasible
79,2,1,1,Infeasible
80,2,1,1,Infeasible
81,2,1,1,Infeasible
82,2,1,1,Infeasible
83,2,1,1,Infeasible
84,2,1,1,Infeasible
85,2,1,1,Infeasible
86,2,1,1,Infeasible
87,2,1,1,Infeasible
88,2,1,1,Infeasible
89,2,1,1,Infeasible
90,2,1,1,Infeasible
91,2,1,1,Infeasible
0,2,1,2,Infeasible
1,2,1,2,Infeasible
2,2,1,2,Infeasible
3,2,1,2,Infeasible
4,2,1,2,Infeasible
5,2,1,2,Infeasible
6,2,1,2,Infeasible
7,2,1,2,Infeasible
8,2,1,2,Infeasible
9,2,1,2,Infeasible
10,2,1,2,Feasible
11,2,1,2,Infeasible
12,2,1,2,Infeasible
13,2,1,2,Infeasible
14,2,1,2,Infeasible
15,2,1,2,Infeasible
16,2,1,2,Infeasible
17,2,1,2,Infeasible
18,2,1,2,Infeasible
19,2,1,2,Infeasible
20,2,1,2,Infeasible
21,2,1,2,Infeasible
22,2,1,2,Infeasible
23,2,1,2,Infeasible
24,2,1,2,Infeasible
25,2,1,2,Infeasible
26,2,1,2,Infeasible
27,2,1,2,Infeasible
28,2,1,2,Infeasible
29,2,1,2,Infeasible
30,2,1,2,Infeasible
31,2,1,2,Infeasible
32,2,1,2,Infeasible
33,2,1,2,Infeasible
34,2,1,2,Infeasible
35,2,1,2,Infeasible
36,2,1,2,Infeasible
37,2,1,2,Infeasible
38,2,1,2,Infeasible
39,2,1,2,Infeasible
40,2,1,2,Infeasible
41,2,1,2,Infeasible
42,2,1,2,Infeasible
43,2,1,2,Infeasible
44,2,1,2,Infeasible
45,2,1,2,Infeasible
46,2,1,2,Infeasible
47,2,1,2,Infeasible
48,2,1,2,Infeasible
49,2,1,2,Infeasible
50,2,1,2,Infeasible
51,2,1,2,Infeasible
52,2,1,2,Infeasible
53,2,1,2,Infeasible
54,2,1,2,Infeasible
55,2,1,2,Infeasible
56,2,1,2,Infeasible
57,2,1,2,Infeasible
58,2,1,2,Infeasible
59,2,1,2,Infeasible
60,2,1,2,Infeasible
61,2,1,2,Infeasible
62,2,1,2,Infeasible
63,2,1,2,Infeasible
64,2,1,2,Infeasible
65,2,1,2,Infeasible
66,2,1,2,Infeasible
67,2,1,2,Infeasible
68,2,1,2,Infeasible
69,2,1,2,Infeasible
70,2,1,2,Infeasible
71,2,1,2,Feasible
72,2,1,2,Infeasible
73,2,1,2,Infeasible
74,2,1,2,Infeasible
75,2,1,2,Infeasible
76,2,1,2,Infeasible
77,2,1,2,Infeasible
78,2,1,2,Infeasible
79,2,1,2,Infeasible
80,2,1,2,Infeasible
81,2,1,2,Infeasible
82,2,1,2,Infeasible
83,2,1,2,Infeasible
84,2,1,2,Infeasible
85,2,1,2,Infeasible
86,2,1,2,Infeasible
87,2,1,2,Infeasible
88,2,1,2,Infeasible
89,2,1,2,Infeasible
90,2,1,2,Infeasible
91,2,1,2,Infeasible
0,2,1,3,Infeasible
1,2,1,3,Infeasible
2,2,1,3,Infeasible
3,2,1,3,Infeasible
4,2,1,3,Infeasible
5,2,1,3,Infeasible
6,2,1,3,Infeasible
7,2,1,3,Infeasible
8,2,1,3,Infeasible
9,2,1,3,Infeasible
10,2,1,3,Infeasible
11,2,1,3,Infeasible
12,2,1,3,Infeasible
13,2,1,3,Infeasible
14,2,1,3,Infeasible
15,2,1,3,Infeasible
16,2,1,3,Infeasible
17,2,1,3,Infeasible
18,2,1,3,Infeasible
19,2,1,3,Infeasible
20,2,1,3,Infeasible
21,2,1,3,Infeasible
22,2,1,3,Infeasible
23,2,1,3,Infeasible
24,2,1,3,Infeasible
25,2,1,3,Infeasible
26,2,1,3,Infeasible
27,2,1,3,Infeasible
28,2,1,3,Infeasible
29,2,1,3,Infeasible
30,2,1,3,Infeasible
31,2,1,3,Infeasible
32,2,1,3,Infeasible
33,2,1,3,Infeasible
34,2,1,3,Infeasible
35,2,1,3,Infeasible
36,2,1,3,Infeasible
37,2,1,3,Infeasible
38,2,1,3,Infeasible
39,2,1,3,Infeasible
40,2,1,3,Infeasible
41,2,1,3,Infeasible
42,2,1,3,Infeasible
43,2,1,3,Infeasible
44,2,1,3,Infeasible
45,2,1,3,Infeasible
46,2,1,3,Infeasible
47,2,1,3,Infeasible
48,2,1,3,Infeasible
49,2,1,3,Infeasible
50,2,1,3,Infeasible
51,2,1,3,Infeasible
52,2,1,3,Infeasible
53,2,1,3,Infeasible
54,2,1,3,Feasible
55,2,1,3,Infeasible
56,2,1,3,Infeasible
57,2,1,3,Infeasible
58,2,1,3,Infeasible
59,2,1,3,Infeasible
60,2,1,3,Infeasible
61,2,1,3,Infeasible
62,2,1,3,Infeasible
63,2,1,3,Infeasible
64,2,1,3,Infeasible
65,2,1,3,Infeasible
66,2,1,3,Infeasible
67,2,1,3,Infeasible
68,2,1,3,Infeasible
69,2,1,3,Infeasible
70,2,1,3,Infeasible
71,2,1,3,Infeasible
72,2,1,3,Infeasible
73,2,1,3,Infeasible
74,2,1,3,Infeasible
75,2,1,3,Infeasible
76,2,1,3,Infeasible
77,2,1,3,Infeasible
78,2,1,3,Infeasible
79,2,1,3,Infeasible
80,2,1,3,Infeasible
81,2,1,3,Infeasible
82,2,1,3,Infeasible
83,2,1,3,Infeasible
84,2,1,3,Infeasible
85,2,1,3,Infeasible
86,2,1,3,Infeasible
87,2,1,3,Infeasible
88,2,1,3,Infeasible
89,2,1,3,Infeasible
90,2,1,3,Infeasible
91,2,1,3,Infeasible
0,3,1,1,Infeasible
1,3,1,1,Infeasible
2,3,1,1,Infeasible
3,3,1,1,Infeasible
4,3,1,1,Infeasible
5,3,1,1,Infeasible
6,3,1,1,Infeasible
7,3,1,1,Infeasible
8,3,1,1,Infeasible
9,3,1,1,Infeasible
10,3,1,1,Infeasible
11,3,1,1,Infeasible
12,3,1,1,Infeasible
13,3,1,1,Infeasible
14,3,1,1,Infeasible
15,3,1,1,Infeasible
16,3,1,1,Infeasible
17,3,1,1,Infeasible
18,3,1,1,Infeasible
19,3,1,1,Infeasible
20,3,1,1,Infeasible
21,3,1,1,Infeasible
22,3,1,1,Infeasible
23,3,1,1,Infeasible
24,3,1,1,Infeasible
25,3,1,1,Infeasible
26,3,1,1,Infeasible
27,3,1,1,Feasible
28,3,1,1,Infeasible
29,3,1,1,Infeasible
30,3,1,1,Infeasible
31,3,1,1,Infeasible
32,3,1,1,Infeasible
33,3,1,1,Infeasible
34,3,1,1,Infeasible
35,3,1,1,Infeasible
36,3,1,1,Infeasible
37,3,1,1,Infeasible
38,3,1,1,Infeasible
39,3,1,1,Infeasible
40,3,1,1,Infeasible
41,3,1,1,Infeasible
42,3,1,1,Infeasible
43,3,1,1,Infeasible
44,3,1,1,Infeasible
45,3,1,1,Infeasible
46,3,1,1,Infeasible
47,3,1,1,Infeasible
48,3,1,1,Infeasible
49,3,1,1,Infeasible
50,3,1,1,Infeasible
51,3,1,1,Infeasible
52,3,1,1,Infeasible
53,3,1,1,Infeasible
54,3,1,1,Infeasible
55,3,1,1,Infeasible
56,3,1,1,Infeasible
57,3,1,1,Infeasible
58,3,1,1,Infeasible
59,3,1,1,Infeasible
60,3,1,1,Infeasible
61,3,1,1,Infeasible
62,3,1,1,Infeasible
63,3,1,1,Infeasible
64,3,1,1,Infeasible
65,3,1,1,Infeasible
66,3,1,1,Infeasible
67,3,1,1,Infeasible
68,3,1,1,Infeasible
69,3,1,1,Infeasible
70,3,1,1,Infeasible
71,3,1,1,Infeasible
72,3,1,1,Infeasible
73,3,1,1,Infeasible
74,3,1,1,Infeasible
75,3,1,1,Infeasible
76,3,1,1,Infeasible
77,3,1,1,Infeasible
78,3,1,1,Infeasible
79,3,1,1,Infeasible
80,3,1,1,Infeasible
81,3,1,1,Infeasible
82,3,1,1,Infeasible
83,3,1,1,Infeasible
84,3,1,1,Infeasible
85,3,1,1,Infeasible
86,3,1,1,Infeasible
87,3,1,1,Infeasible
88,3,1,1,Infeasible
89,3,1,1,Infeasible
90,3,1,1,Infeasible
91,3,1,1,Infeasible
0,3,1,2,Infeasible
1,3,1,2,Infeasible
2,3,1,2,Infeasible
3,3,1,2,Infeasible
4,3,1,2,Infeasible
5,3,1,2,Infeasible
6,3,1,2,Infeasible
7,3,1,2,Infeasible
8,3,1,2,Infeasible
9,3,1,2,Infeasible
10,3,1,2,Infeasible
11,3,1,2,Infeasible
12,3,1,2,Infeasible
13,3,1,2,Infeasible
14,3,1,2,Infeasible
15,3,1,2,Infeasible
16,3,1,2,Infeasible
17,3,1,2,Infeasible
18,3,1,2,Infeasible
19,3,1,2,Infeasible
20,3,1,2,Infeasible
21,3,1,2,Infeasible
22,3,1,2,Infeasible
23,3,1,2,Infeasible
24,3,1,2,Infeasible
25,3,1,2,Feasible
26,3,1,2,Infeasible
27,3,1,2,Infeasible
28,3,1,2,Infeasible
29,3,1,2,Infeasible
30,3,1,2,Infeasible
31,3,1,2,Infeasible
32,3,1,2,Infeasible
33,3,1,2,Infeasible
34,3,1,2,Infeasible
35,3,1,2,Infeasible
36,3,1,2,Infeasible
37,3,1,2,Infeasible
38,3,1,2,Infeasible
39,3,1,2,Infeasible
40,3,1,2,Infeasible
41,3,1,2,Feasible
42,3,1,2,Infeasible
43,3,1,2,Infeasible
44,3,1,2,Infeasible
45,3,1,2,Infeasible
46,3,1,2,Infeasible
47,3,1,2,Infeasible
48,3,1,2,Infeasible
49,3,1,2,Infeasible
50,3,1,2,Infeasible
51,3,1,2,Infeasible
52,3,1,2,Infeasible
53,3,1,2,Infeasible
54,3,1,2,Infeasible
55,3,1,2,Infeasible
56,3,1,2,Infeasible
57,3,1,2,Infeasible
58,3,1,2,Infeasible
59,3,1,2,Infeasible
60,3,1,2,Infeasible
61,3,1,2,Infeasible
62,3,1,2,Infeasible
63,3,1,2,Infeasible
64,3,1,2,Infeasible
65,3,1,2,Infeasible
66,3,1,2,Infeasible
67,3,1,2,Infeasible
68,3,1,2,Infeasible
69,3,1,2,Infeasible
70,3,1,2,Infeasible
71,3,1,2,Infeasible
72,3,1,2,Infeasible
73,3,1,2,Infeasible
74,3,1,2,Infeasible
75,3,1,2,Infeasible
76,3,1,2,Infeasible
77,3,1,2,Infeasible
78,3,1,2,Infeasible
